pile_number,pile_diameter,pile_type,ph_elev,pt_elev,northing_coord_y,easting_coord_x,limestone_thickness,sounding_beg_limestone,phase,,,,
65,1.00,BP5,59.70,59.70,"2,052.5780","7,657.8890",,,Phase 3,,,,Pha
66,1.20,BP4,59.70,59.70,"2,055.5460","7,658.3480",,,Phase 3,,,,Pha
67,1.00,BP8,59.70,34.70,"2,035.1700","7,657.8300",12,25,Phase 1,,,,Pha
68,1.00,BP9,59.70,36.70,"2,038.1370","7,658.2890",12,23,Phase 1,,,,Pha
69,1.00,BP9,59.70,59.70,"2,041.8960","7,658.8710",,,Phase 3,,,,Pha
70,1.20,BP3,59.70,59.70,"2,044.8150","7,659.7270",,,Phase 3,,,,Pha
71,1.20,BP4,59.70,59.70,"2,048.0970","7,660.2350",,,Phase 3,,,,Pha
72,1.20,BP4,59.70,59.70,"2,052.1190","7,660.8570",,,Phase 3,,,,Pha
73,1.00,BP9,59.70,59.70,"2,055.0870","7,661.3160",,,Phase 3,,,,Pha
74,1.00,BP9,66.30,47.30,"2,034.3070","7,661.5390",12,19,Phase 1,,,,Pha
75,1.00,BP10,66.30,41.30,"2,037.2680","7,661.9970",30,25,Phase 1,,,,Pha
76,1.00,BP10,66.30,66.30,"2,040.2360","7,662.4560",,,Phase 3,,,,Pha
77,1.00,BP10,59.70,59.70,"2,046.0150","7,663.3500",,,Phase 3,,,,Pha
78,1.00,BP10,59.70,59.70,"2,048.9830","7,663.8090",,,Phase 3,,,,Pha
79,1.00,BP8,59.70,59.70,"2,051.9450","7,664.2670",,,Phase 3,,,,Pha
80,1.00,BP9,59.70,59.70,"2,054.9130","7,664.7260",,,Phase 3,,,,Pha
81,1.00,BP9,66.30,41.30,"2,030.8810","7,664.0410",6,25,Phase 1,,,,Pha
82,1.00,BP9,66.30,51.30,"2,033.8490","7,664.5000",16,15,Phase 1,,,,Pha
83,1.00,BP10,66.30,66.30,"2,036.8100","7,664.9590",,,Phase 3,,,,Pha
84,1.00,BP10,66.30,66.30,"2,039.7790","7,665.4110",,,Phase 3,,,,Pha
85,1.00,BP10,59.70,59.70,"2,042.9120","7,664.3860",,,Phase 3,,,,Pha
86,1.00,BP10,69.75,69.75,"2,045.5570","7,666.3120",,,Phase 3,,,,Pha
87,1.00,BP10,69.75,69.75,"2,048.5250","7,666.7710",,,Phase 3,,,,Pha
88,1.00,BP8,69.75,69.75,"2,051.4870","7,667.2290",,,Phase 3,,,,Pha
89,1.00,BP9,69.75,69.75,"2,054.4540","7,667.6880",,,Phase 3,,,,Pha
90,1.00,BP9,66.30,35.30,"2,030.3450","7,667.5050",10,31,Phase 1,,,,Pha
91,1.00,BP9,66.30,41.30,"2,033.3130","7,667.9640",12,25,Phase 1,,,,Pha
92,1.00,BP10,66.30,66.30,"2,036.2750","7,668.4220",,,Phase 3,,,,Pha
93,1.00,BP10,66.30,66.30,"2,039.2420","7,668.8810",,,Phase 3,,,,Pha
94,1.00,BP10,66.30,66.30,"2,042.4150","7,667.5990",,,Phase 3,,,,Pha
95,1.00,BP10,69.75,69.75,"2,045.0210","7,669.7750",,,Phase 3,,,,Pha
96,1.00,BP10,69.75,69.75,"2,047.9890","7,670.2340",,,Phase 3,,,,Pha
97,1.00,BP8,69.75,69.75,"2,050.9510","7,670.6920",,,Phase 3,,,,Pha
98,1.00,BP8,69.75,69.75,"2,032.8550","7,670.9260",,,Phase 3,,,,Pha
99,1.00,BP8,69.75,69.75,"2,035.8160","7,671.3840",,,Phase 3,,,,Pha
100,1.00,BP8,69.75,69.75,"2,038.7840","7,671.8430",,,Phase 3,,,,Pha
101,1.00,BP8,69.75,69.75,"2,041.4600","7,673.7730",,,Phase 3,,,,Pha
102,1.00,BP8,69.75,69.75,"2,044.5630","7,672.7370",,,Phase 3,,,,Pha
103,1.00,BP8,69.75,69.75,"2,047.5310","7,673.1960",,,Phase 3,,,,Pha
104,1.20,BP11,69.75,69.75,"2,050.4930","7,673.6540",,,Phase 3,,,,Pha
105,1.00,BP9,69.75,69.75,"2,032.3960","7,673.8940",,,Phase 3,,,,Pha
106,1.00,BP9,69.75,69.75,"2,035.3570","7,674.3520",,,Phase 3,,,,Pha
107,1.00,BP9,69.75,69.75,"2,038.3250","7,674.8110",,,Phase 3,,,,Pha
108,1.00,BP9,69.75,69.75,"2,040.9630","7,676.9860",,,Phase 3,,,,Pha
109,1.00,BP9,75.50,75.50,"2,044.1040","7,675.7050",,,Phase 2,,,,Pha
110,1.20,BP7,75.50,75.50,"2,047.0720","7,676.1640",,,Phase 2,,,,Pha
111,1.20,BP11,75.50,75.50,"2,050.0340","7,676.6220",,,Phase 2,,,,Pha
112,1.00,BP9,69.75,69.75,"2,031.8610","7,677.3510",,,Phase 3,,,,Pha
113,1.00,BP9,69.75,69.75,"2,034.8230","7,677.8090",,,Phase 3,,,,Pha
114,1.00,BP9,69.75,69.75,"2,037.7900","7,678.2680",,,Phase 3,,,,Pha
115,1.00,BP8,69.75,69.75,"2,040.4540","7,680.1960",,,Phase 3,,,,Pha
116,1.00,BP9,75.50,75.50,"2,043.5690","7,679.1620",,,Phase 2,,,,Pha
117,1.20,BP7,75.50,75.50,"2,046.5370","7,679.6210",,,Phase 2,,,,Pha
118,1.20,BP11,75.50,75.50,"2,049.4990","7,680.0790",,,Phase 2,,,,Pha
119,1.00,BP8,69.75,69.75,"2,031.4030","7,680.3120",,,Phase 3,,,,Pha
120,1.00,BP8,69.75,69.75,"2,034.3640","7,680.7710",,,Phase 3,,,,Pha
121,1.00,BP8,69.75,69.75,"2,037.3320","7,681.2300",,,Phase 3,,,,Pha
122,1.20,BP11,75.50,75.50,"2,043.1110","7,682.1240",,,Phase 2,,,,Pha
123,1.20,BP11,75.50,75.50,"2,046.0790","7,682.5830",,,Phase 2,,,,Pha
124,1.20,BP11,75.50,75.50,"2,049.0410","7,683.0410",,,Phase 2,,,,Pha
